timestamp,rr,sr,cnt,mrt,tc
1614787440,100.0,100.0,22,53.27,ServiceTest1
1614787500,100.0,100.0,11,61.91,ServiceTest1
1614787560,100.0,100.0,42,84.14,ServiceTest1
1614787620,100.0,100.0,40,231.8,ServiceTest1
1614787680,100.0,100.0,34,82.76,ServiceTest1
1614787740,100.0,100.0,30,45.8,ServiceTest1
1614787800,100.0,100.0,42,62.21,ServiceTest1
1614787860,100.0,100.0,13,47.23,ServiceTest1
1614787920,100.0,100.0,15,75.4,ServiceTest1
1614787980,100.0,100.0,52,102.27,ServiceTest1
1614788040,100.0,100.0,16,28.12,ServiceTest1
1614788100,100.0,100.0,17,62.71,ServiceTest1
1614788160,100.0,100.0,12,32.75,ServiceTest1
1614788220,100.0,100.0,19,39.74,ServiceTest1
1614788280,100.0,100.0,16,115.25,ServiceTest1
1614788340,100.0,100.0,37,38.46,ServiceTest1
1614788400,100.0,100.0,17,83.71,ServiceTest1
1614788460,100.0,100.0,21,33.43,ServiceTest1
1614788520,100.0,100.0,16,111.38,ServiceTest1
1614788580,100.0,100.0,34,106.26,ServiceTest1
1614788640,100.0,100.0,8,254.0,ServiceTest1
1614788700,100.0,100.0,16,21.88,ServiceTest1
1614788760,100.0,100.0,19,75.0,ServiceTest1
1614788820,100.0,100.0,18,48.0,ServiceTest1
1614788880,100.0,100.0,31,38.03,ServiceTest1
1614788940,100.0,100.0,17,74.53,ServiceTest1
1614789000,100.0,100.0,12,21.67,ServiceTest1
1614789060,100.0,100.0,14,55.93,ServiceTest1
1614789120,100.0,100.0,23,43.0,ServiceTest1
1614789180,100.0,100.0,14,30.57,ServiceTest1
1614789240,100.0,100.0,21,32.71,ServiceTest1
1614789300,100.0,100.0,10,20.2,ServiceTest1
1614789360,100.0,100.0,21,81.0,ServiceTest1
1614789420,100.0,100.0,14,39.64,ServiceTest1
1614789480,100.0,100.0,16,57.06,ServiceTest1
1614789540,100.0,100.0,20,23.8,ServiceTest1
1614789600,100.0,100.0,25,92.52,ServiceTest1
1614789660,100.0,100.0,17,171.88,ServiceTest1
1614789720,100.0,100.0,8,197.5,ServiceTest1
1614789780,100.0,100.0,11,22.73,ServiceTest1
1614789840,100.0,100.0,13,22.0,ServiceTest1
1614789900,100.0,100.0,9,71.78,ServiceTest1
1614789960,100.0,100.0,3,19.67,ServiceTest1
1614790020,100.0,100.0,10,33.2,ServiceTest1
1614790080,100.0,100.0,22,22.0,ServiceTest1
1614790140,100.0,100.0,6,20.0,ServiceTest1
1614790260,100.0,100.0,9,170.56,ServiceTest1
1614790320,100.0,100.0,17,74.0,ServiceTest1
1614790380,100.0,100.0,8,32.38,ServiceTest1
1614790440,100.0,100.0,8,19.62,ServiceTest1
1614790500,100.0,100.0,5,21.2,ServiceTest1
1614790560,100.0,100.0,19,97.42,ServiceTest1
1614790620,100.0,100.0,4,19.75,ServiceTest1
1614790740,100.0,100.0,3,30.67,ServiceTest1
1614790800,100.0,100.0,9,59.89,ServiceTest1
1614790860,100.0,100.0,10,23.4,ServiceTest1
1614790920,100.0,100.0,9,23.33,ServiceTest1
1614790980,100.0,100.0,9,93.22,ServiceTest1
1614791040,100.0,100.0,6,34.33,ServiceTest1
1614791100,100.0,100.0,5,22.8,ServiceTest1
1614791160,100.0,100.0,4,19.75,ServiceTest1
1614791340,100.0,100.0,10,23.0,ServiceTest1
1614791400,100.0,100,4,22,ServiceTest1
1614791520,100.0,100.0,4,110.75,ServiceTest1
