timestamp,rr,sr,cnt,mrt,tc
1614758100,58.49,75.1509434,53,14912.96,ServiceTest9
1614758100,63.1,73.48809524,84,10413.97,ServiceTest1
1614758100,53.49,69.34883721,43,17004.37,ServiceTest3
1614758100,70.37,81.11111111,27,12156.78,ServiceTest7
1614758100,63.33,66.1,30,13247.4,ServiceTest4
1614758100,62.96,71.66666667,54,9597.33,ServiceTest6
1614758100,62.86,76.62857143,35,14530.8,ServiceTest10
1614758100,61.29,67.58064516,31,10296.23,ServiceTest11
1614758100,52,55.68,25,13234.08,ServiceTest8
1614758100,72.22,85.88888889,36,10187.44,ServiceTest5
1614758100,60.47,69.39534884,43,12605.42,ServiceTest2
1614758160,89.66,100,29,3256.34,ServiceTest11
1614758160,88.46,100,26,5859.27,ServiceTest9
1614758160,82.18,98.54455446,101,6661.24,ServiceTest6
1614758160,74.04,98,104,9228.4,ServiceTest1
1614758160,79.22,100,77,8030.55,ServiceTest5
1614758160,78.57,100,28,7931.5,ServiceTest7
1614758160,68.97,100,29,8384.9,ServiceTest8
1614758160,65.38,100,26,14532.46,ServiceTest4
1614758160,76.39,100,72,7283.19,ServiceTest3
1614758160,80.56,100,36,7021,ServiceTest2
1614758160,73.68,100,19,8243.37,ServiceTest10
1614758220,100,100,83,283.35,ServiceTest11
1614758220,100,100,72,252.44,ServiceTest2
1614758220,100,100,108,505.19,ServiceTest6
1614758220,100,100,14,449.71,ServiceTest9
1614758220,100,100,98,276.44,ServiceTest5
1614758220,100,100,80,243.55,ServiceTest10
1614758220,100,100,78,1432.42,ServiceTest4
1614758220,100,100,64,253.5,ServiceTest3
1614758220,100,100,59,343.71,ServiceTest1
1614758220,100,100,69,307.04,ServiceTest8
1614758220,100,100,55,847.11,ServiceTest7
1614758280,100,100,47,285.17,ServiceTest9
1614758280,100,100,100,172.12,ServiceTest10
1614758280,100,100,109,326.31,ServiceTest11
1614758280,100,100,100,231.08,ServiceTest5
1614758280,100,100,59,1385.56,ServiceTest4
1614758280,100,100,70,173.09,ServiceTest8
1614758280,100,100,85,636.93,ServiceTest7
1614758280,100,100,62,380.03,ServiceTest3
1614758280,100,100,72,546.38,ServiceTest6
1614758280,100,100,57,198.47,ServiceTest1
1614758280,100,100,96,282.72,ServiceTest2
1614758340,100,100,125,269.88,ServiceTest2
1614758340,100,100,71,190.01,ServiceTest3
1614758340,100,100,80,219.69,ServiceTest9
1614758340,100,100,40,300.4,ServiceTest8
1614758340,100,100,47,969.7,ServiceTest4
1614758340,100,100,106,236.2,ServiceTest5
1614758340,100,100,124,223.19,ServiceTest1
1614758340,100,100,20,560.8,ServiceTest6
1614758340,100,100,47,508.02,ServiceTest7
1614758340,100,100,75,173.88,ServiceTest10
1614758340,100,100,104,297.82,ServiceTest11
1614758400,100,100,41,197.93,ServiceTest10
1614758400,100,100,54,402.5,ServiceTest11
1614758400,100,100,130,293.04,ServiceTest1
1614758400,100,100,73,216.11,ServiceTest3
1614758400,100,100,150,347.76,ServiceTest5
1614758400,100,100,112,345.52,ServiceTest2
1614758400,100,100,38,560.26,ServiceTest6
1614758400,100,100,57,132.25,ServiceTest9
1614758400,100,100,138,1444.86,ServiceTest4
1614758400,100,100,22,377.18,ServiceTest8
1614758400,100,100,86,638.56,ServiceTest7
1614758460,100,100,130,514.01,ServiceTest6
1614758460,100,100,58,306.28,ServiceTest1
1614758460,100,100,145,288.02,ServiceTest9
1614758460,100,100,195,333.85,ServiceTest2
1614758460,100,100,100,163.24,ServiceTest10
1614758460,100,100,101,358.42,ServiceTest11
1614758460,100,100,57,313.04,ServiceTest3
1614758460,100,100,85,1418.82,ServiceTest4
1614758460,100,100,35,769.29,ServiceTest7
1614758460,100,100,86,274.53,ServiceTest5
1614758460,100,100,33,329.82,ServiceTest8
1614758520,100,100,70,220.86,ServiceTest3
1614758520,100,100,52,129.5,ServiceTest5
1614758520,100,100,89,180.61,ServiceTest10
1614758520,100,100,67,296.54,ServiceTest11
1614758520,100,100,58,428,ServiceTest6
1614758520,100,100,145,163.93,ServiceTest9
1614758520,100,100,71,397.96,ServiceTest8
1614758520,100,100,118,1346.5,ServiceTest4
1614758520,100,100,94,240.4,ServiceTest1
1614758520,100,100,62,284.65,ServiceTest2
1614758520,100,100,44,693.34,ServiceTest7
1614758580,100,100,46,188.87,ServiceTest10
1614758580,100,100,109,574.45,ServiceTest7
1614758580,100,100,75,203.8,ServiceTest11
1614758580,100,100,84,300.57,ServiceTest8
1614758580,100,100,82,1234.29,ServiceTest4
1614758580,100,100,71,198.3,ServiceTest1
1614758580,100,100,37,471.95,ServiceTest6
1614758580,100,100,96,302.22,ServiceTest2
1614758580,100,100,48,192.83,ServiceTest9
1614758580,100,100,54,199.74,ServiceTest3
1614758580,100,100,46,145.39,ServiceTest5
1614758640,100,100,96,279.56,ServiceTest11
1614758640,100,100,25,421.92,ServiceTest6
1614758640,100,100,93,161.22,ServiceTest1
1614758640,100,100,67,243.27,ServiceTest2
1614758640,100,100,130,770.85,ServiceTest7
1614758640,100,100,133,299.75,ServiceTest3
1614758640,100,100,115,244.77,ServiceTest5
1614758640,100,100,47,304.47,ServiceTest8
1614758640,100,100,112,1808.07,ServiceTest4
1614758640,100,100,44,354.8,ServiceTest9
1614758640,100,100,39,246.03,ServiceTest10
1614758700,100,100,164,207.07,ServiceTest3
1614758700,100,100,70,214.71,ServiceTest10
1614758700,100,100,44,285.11,ServiceTest9
1614758700,100,100,133,307.9,ServiceTest2
1614758700,100,100,95,207.11,ServiceTest5
1614758700,100,100,120,245.43,ServiceTest8
1614758700,100,100,50,180.96,ServiceTest1
1614758700,100,100,33,1230.36,ServiceTest4
1614758700,100,100,47,447.96,ServiceTest7
1614758700,100,100,52,385.62,ServiceTest6
1614758700,100,100,52,281.75,ServiceTest11
1614758760,100,100,48,384.19,ServiceTest10
1614758760,100,100,100,296.88,ServiceTest2
1614758760,100,100,124,274.31,ServiceTest8
1614758760,100,100,43,162.05,ServiceTest5
1614758760,100,100,86,605.19,ServiceTest7
1614758760,100,100,80,298.38,ServiceTest3
1614758760,100,100,61,281.36,ServiceTest11
1614758760,100,100,100,204.81,ServiceTest1
1614758760,100,100,73,185.11,ServiceTest9
1614758760,100,100,33,381.64,ServiceTest6
1614758760,100,100,51,1392.8,ServiceTest4
1614758820,100,100,28,839.46,ServiceTest7
1614758820,100,100,95,168.99,ServiceTest10
1614758820,100,100,204,360.07,ServiceTest8
1614758820,100,100,127,280.88,ServiceTest1
1614758820,100,100,86,226.37,ServiceTest9
1614758820,100,100,112,346.29,ServiceTest3
1614758820,100,100,33,202.18,ServiceTest2
1614758820,100,100,124,362,ServiceTest11
1614758820,100,100,85,257,ServiceTest5
1614758820,100,100,73,1368.42,ServiceTest4
1614758820,100,100,82,657.88,ServiceTest6
1614758880,100,100,66,667.79,ServiceTest7
1614758880,100,100,89,249.54,ServiceTest2
1614758880,100,100,63,216.95,ServiceTest1
1614758880,100,100,82,236.93,ServiceTest3
1614758880,100,100,62,185.61,ServiceTest10
1614758880,100,100,98,218.97,ServiceTest5
1614758880,100,100,93,165,ServiceTest9
1614758880,100,100,64,483.12,ServiceTest6
1614758880,100,100,99,1594.17,ServiceTest4
1614758880,100,100,105,285.52,ServiceTest11
1614758880,100,100,61,303.31,ServiceTest8
1614758940,100,100,118,317.75,ServiceTest8
1614758940,100,100,104,265.4,ServiceTest9
1614758940,100,100,71,276.73,ServiceTest5
1614758940,100,100,127,1806.98,ServiceTest4
1614758940,100,100,84,739.9,ServiceTest7
1614758940,100,100,83,234.88,ServiceTest10
1614758940,100,100,68,210.4,ServiceTest1
1614758940,100,100,44,373.11,ServiceTest3
1614758940,100,100,121,304.87,ServiceTest11
1614758940,100,100,40,259.27,ServiceTest2
1614758940,100,100,45,736.2,ServiceTest6
1614759000,100,100,103,266.5,ServiceTest10
1614759000,100,100,111,769.05,ServiceTest7
1614759000,100,100,127,252.35,ServiceTest1
1614759000,100,100,70,347.86,ServiceTest9
1614759000,100,100,29,375.9,ServiceTest8
1614759000,100,100,46,192.22,ServiceTest5
1614759000,100,100,101,248.39,ServiceTest3
1614759000,100,100,47,423.36,ServiceTest6
1614759000,100,100,103,1496.83,ServiceTest4
1614759000,100,100,90,410.43,ServiceTest2
1614759000,100,100,62,246.5,ServiceTest11
1614759060,100,100,62,347.84,ServiceTest5
1614759060,100,100,144,350.42,ServiceTest11
1614759060,100,100,64,1334.53,ServiceTest4
1614759060,100,100,38,382.37,ServiceTest9
1614759060,100,100,84,145.5,ServiceTest10
1614759060,100,100,71,268,ServiceTest3
1614759060,100,100,89,598.49,ServiceTest6
1614759060,100,100,59,253.02,ServiceTest2
1614759060,100,100,105,251.29,ServiceTest1
1614759060,100,100,74,327.05,ServiceTest8
1614759060,100,100,94,719,ServiceTest7
1614759120,100,100,106,214.02,ServiceTest1
1614759120,100,100,118,727.09,ServiceTest7
1614759120,100,100,110,238.4,ServiceTest10
1614759120,100,100,158,311.7,ServiceTest8
1614759120,100,100,73,288.38,ServiceTest11
1614759120,100,100,33,260.21,ServiceTest5
1614759120,100,100,77,307.7,ServiceTest2
1614759120,100,100,65,71.35,ServiceTest9
1614759120,100,100,86,295.7,ServiceTest6
1614759120,100,100,60,267.5,ServiceTest3
1614759120,100,100,20,1601,ServiceTest4
1614759180,100,100,190,273.58,ServiceTest3
1614759180,100,100,116,265.24,ServiceTest9
1614759180,100,100,47,711.02,ServiceTest7
1614759180,100,100,82,164.74,ServiceTest5
1614759180,100,100,94,230.33,ServiceTest1
1614759180,100,100,88,317.36,ServiceTest8
1614759180,100,100,52,304.31,ServiceTest2
1614759180,100,100,118,252.81,ServiceTest11
1614759180,100,100,60,1170.78,ServiceTest4
1614759180,100,100,59,367.83,ServiceTest10
1614759180,100,100,20,427.3,ServiceTest6
1614759240,100,100,69,223.87,ServiceTest8
1614759240,100,100,97,137.67,ServiceTest10
1614759240,100,100,102,292.7,ServiceTest9
1614759240,100,100,78,271.74,ServiceTest3
1614759240,100,100,133,384.04,ServiceTest11
1614759240,100,100,151,248.37,ServiceTest1
1614759240,100,100,87,1213.77,ServiceTest4
1614759240,100,100,69,365.29,ServiceTest2
1614759240,100,100,50,188.94,ServiceTest5
1614759240,100,100,9,347,ServiceTest7
1614759240,100,100,17,221.65,ServiceTest6
1614759300,100,100,76,282.21,ServiceTest2
1614759300,100,100,118,283.15,ServiceTest5
1614759300,100,100,60,268.6,ServiceTest10
1614759300,100,100,104,164.79,ServiceTest1
1614759300,100,100,113,343.24,ServiceTest11
1614759300,100,100,130,337.35,ServiceTest8
1614759300,100,100,47,192.4,ServiceTest9
1614759300,100,100,74,168.38,ServiceTest3
1614759300,100,100,81,1228.78,ServiceTest4
1614759300,100,100,90,469.31,ServiceTest6
1614759300,100,100,7,463.57,ServiceTest7
1614759360,100,100,119,330.65,ServiceTest9
1614759360,100,100,45,303.73,ServiceTest5
